legacy_panel_id,legacy_page,legacy_panel,script_panel_ref,background_plate,plate_reuse_count,art_tier,what_it_communicates,advances_story,shot_choice_ok,character_scale_believable,natural_standing,ground_contact_ok,posture_weight_ok,eye_lines_ok,lighting_matches,edges_integrate,shadows_present,expression_fits_dialogue,anatomy_ok,hands_ok,framing_varied,disposition,severity,rebuild_note
MZ-2026-08-01_P01_PANEL01,1,1,1.1,festival-grounds,8,draft_composite,Six Emo Monkeys arrive at the festival,yes,yes,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RENDER_NEW_CHARACTERS,CRITICAL,Plate is usable as a starting point. Characters are opaque reference cards in a row and must be replaced with staged alpha layers on a calibrated ground plane.
MZ-2026-08-01_P01_PANEL02,1,2,1.2,none,1,off_model_generation,Intended: NeonBlue lists duties while Lil Devil cracks knuckles,no,no,no,no,no,no,no,no,no,no,no,no,no,no,REMOVE,BLOCKER,"Published page shows five off-model pink figures with tails and blue tube tops. Not MonkeyZoo characters. Four different images exist under this panel ID across selected_panels, draft_composites, .art-workspace/attempts and the assembled page; none match by hash."
MZ-2026-08-01_P01_PANEL03,1,3,none,festival-main-stage,2,draft_composite,Main stage countdown board glows,partial,yes,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RECOMPOSE,MAJOR,Panel exists in art but not in the script. Either the script or the art is wrong. Keep the stage plate; re-derive the beat from the rebuilt script.
MZ-2026-08-01_P02_PANEL01,2,1,2.1,none,1,raw_generation_artifact,Intended: first blackout; Static flinches,no,no,no,no,no,no,no,no,no,no,no,no,no,no,REMOVE,BLOCKER,Image is a giant blurred pink blob face. Not a panel. Reached the published page.
MZ-2026-08-01_P02_PANEL02,2,2,2.2,none,1,raw_generation_artifact,Intended: NeonBlue reassures crowd; TwoTone checks junction,no,no,no,no,no,no,no,no,no,no,no,no,no,no,REMOVE,BLOCKER,Image is a tiled wallpaper pattern of monkey blobs on blue. Not a panel. Reached the published page.
MZ-2026-08-01_P02_PANEL03,2,3,2.3,none,1,raw_generation_artifact,Intended: backup fails; Scarline watches the crowd,no,no,no,no,no,no,no,no,no,no,no,no,no,no,REMOVE,BLOCKER,Image is a tiled pattern of grey monkey blobs. Not a panel. Reached the published page. Page 2 therefore contains zero valid artwork.
MZ-2026-08-01_P03_PANEL01,3,1,3.1,festival-grounds,8,draft_composite,Outages hop across booths; TwoTone traces two paths,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RECOMPOSE,CRITICAL,Reuses the identical unchanged festival plate as P01_PANEL01 with no camera move. Needs a new angle on the same location.
MZ-2026-08-01_P03_PANEL02,3,2,3.2,festival-grounds,8,draft_composite,Screens flash fractured cyan; Static hears the pulse,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RECOMPOSE,CRITICAL,"Third consecutive identical plate. The cyan screen fracture, the actual story content, is not visible in the art at all."
MZ-2026-08-01_P03_PANEL03,3,3,3.3,festival-grounds,8,draft_composite,NeonBlue laughs too hard; Moodz observes,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RECOMPOSE,CRITICAL,Character beat needs a closer shot. Wide festival plate cannot carry a performance read.
MZ-2026-08-01_P04_PANEL01,4,1,4.1,festival-control-node,5,draft_composite,Lil Devil grabs the locked service gate,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RENDER_NEW_CHARACTERS,CRITICAL,Script calls page 4 a full-bleed splash. Art delivers three equal standard panels. Layout intent was lost between script and page plan.
MZ-2026-08-01_P04_PANEL02,4,2,4.1,festival-control-node,5,draft_composite,Control box flickers cyan as NeonBlue steps closer,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RENDER_NEW_CHARACTERS,CRITICAL,The issue's central lore beat is rendered as two sticker cards on a reused plate. This beat must carry the most visual weight in the issue.
MZ-2026-08-01_P04_PANEL03,4,3,4.1,festival-control-node,5,draft_composite,Lil Devil wants chaos; Ash gives one precise line,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RENDER_NEW_CHARACTERS,MAJOR,Ash's line is the emotional hinge and is delivered by a sticker card.
MZ-2026-08-01_P05_PANEL01,5,1,5.1,none,1,raw_generation_artifact,Intended: NeonBlue finds the cyan relay marker,no,no,no,no,no,no,no,no,no,no,no,no,no,no,REMOVE,BLOCKER,Image is a dense pile of blue and white monkey heads. Not a panel. The midpoint Patch recognition beat has no usable art.
MZ-2026-08-01_P05_PANEL02,5,2,5.2,festival-service-corridor,4,draft_composite,Moodz tells NeonBlue he does not have to sell safety,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RENDER_NEW_CHARACTERS,CRITICAL,Quietest and most important character beat in the first half. Needs a close two-shot.
MZ-2026-08-01_P05_PANEL03,5,3,5.3,festival-grounds,8,draft_composite,Team regroups; TwoTone and Static confirm the pattern,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RECOMPOSE,MAJOR,Returns to the same festival plate for the fifth time.
MZ-2026-08-01_P06_PANEL01,6,1,6.1,festival-main-stage,2,draft_composite,Main stage countdown critical; crowd surges,yes,yes,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RENDER_NEW_CHARACTERS,MAJOR,Crowd pressure is stated in dialogue but absent from the image. The stage plate has no crowd.
MZ-2026-08-01_P06_PANEL02,6,2,6.2,festival-service-corridor,4,draft_composite,Static and Scarline find a trapped group,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,REBUILD,CRITICAL,The trapped group does not exist in the artwork. The crisis discovery is carried entirely by a caption.
MZ-2026-08-01_P06_PANEL03,6,3,none,festival-service-corridor,4,draft_composite,NeonBlue freezes between stage and corridor,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,REBUILD,CRITICAL,The decision moment of the issue. Not in the script. Needs to be the strongest panel on the page.
MZ-2026-08-01_P07_PANEL01,7,1,7.1,festival-control-node,5,draft_composite,NeonBlue gives an honest plan,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RENDER_NEW_CHARACTERS,CRITICAL,Four characters as four equal cards in a row. No leader read; the blocking contradicts the beat.
MZ-2026-08-01_P07_PANEL02,7,2,7.2,festival-control-node,5,draft_composite,Lil Devil applies force where NeonBlue marks,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,RENDER_NEW_CHARACTERS,CRITICAL,The issue's only action beat. A static card row cannot deliver an impact.
MZ-2026-08-01_P07_PANEL03,7,3,7.3,festival-service-corridor,4,draft_composite,Team clears the corridor; trapped group exits,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,n/a,no,REBUILD,CRITICAL,The rescued people are absent from the artwork. The payoff of the issue is unrendered.
